station_id,station_name,rides_started,rides_ended,net_outflow,total_activity
23001,Elizabeth St & Randolph St,14375,14534,-159,28909
CHI00388,Damen Ave & Cortland St,14443,14460,-17,28903
KA1504000146,Clark St & Berwyn Ave,14112,14757,-645,28869
13128,Clark St & North Ave,14198,14646,-448,28844
CHI00372,Morgan St & Polk St,14636,14088,548,28724
CHI02109,Clark St & Arlington Pl,14313,14298,15,28611
KA1504000134,Ritchie Ct & Banks St,14454,14082,372,28536
CHI00285,Lincoln Ave & Diversey Pkwy,14184,14340,-156,28524
13133,Damen Ave & Cortland St,14112,14412,-300,28524
CHI00242,Sangamon St & Lake St,13820,14645,-825,28465
CHI02052,Wilton Ave & Diversey Pkwy,14333,14057,276,28390
13217,Calumet Ave & 33rd St,14395,13972,423,28367
13389,Clarendon Ave & Junior Ter,14187,14050,137,28237
CHI00575,Larrabee St & Division St,14634,13577,1057,28211
TA1308000029,Stetson Ave & South Water St,14483,13496,987,27979
TA1309000008,Franklin St & Adams St,14045,13933,112,27978
KA1503000044,Rush St & Hubbard St,13926,14042,-116,27968
CHI00291,Halsted St & Dickens Ave,13518,14274,-756,27792
CHI00301,Clark St & Grace St,13602,14144,-542,27746
13243,Milwaukee Ave & Wabansia Ave,13707,13997,-290,27704
TA1309000036,Burling St & Diversey Pkwy,13593,14085,-492,27678
CHI02125,Dearborn St & Division St,13874,13774,100,27648
CHI00715,Aberdeen St & Randolph St,13748,13898,-150,27646
TA1305000039,Elston Ave & Cortland St,13822,13818,4,27640
CHI00421,Clifton Ave & Armitage Ave,13608,13990,-382,27598
KP1705001026,LaSalle Dr & Huron St,14137,13412,725,27549
TA1307000163,Clifton Ave & Armitage Ave,13496,14038,-542,27534
CHI00275,Ogden Ave & Chicago Ave,14061,13393,668,27454
CHI02025,Michigan Ave & 9th St,14532,12882,1650,27414
22004,Blackstone Ave & 59th St,13877,13507,370,27384
CHI00477,Lincoln Ave & Melrose St,13509,13844,-335,27353
13056,Canal St & Monroe St,13892,13419,473,27311
TA1307000064,Lincoln Ave & Diversey Pkwy,13626,13578,48,27204
13160,May St & Taylor St,13726,13400,326,27126
13036,Michigan Ave & Madison St,13468,13592,-124,27060
CHI00432,Stetson Ave & South Water St,14360,12689,1671,27049
CHI00468,Sheridan Rd & Buena Ave,13560,13440,120,27000
CHI00335,Southport Ave & Belmont Ave,13381,13425,-44,26806
CHI00269,Honore St & Division St,13061,13637,-576,26698
13029,Field Museum,14704,11976,2728,26680
TA1309000001,Halsted St & Maxwell St,12989,13369,-380,26358
CHI01903,Elizabeth St & Randolph St,13137,13181,-44,26318
TA1307000164,Woodlawn Ave & 55th St,13583,12613,970,26196
CHI02124,Dearborn St & Maple St,13110,12985,125,26095
CHI00398,Canal St & Monroe St,13406,12672,734,26078
TA1307000113,Southport Ave & Wrightwood Ave,12880,13196,-316,26076
13085,Kedzie Ave & Milwaukee Ave,12900,13149,-249,26049
13132,Damen Ave & Chicago Ave,12557,13438,-881,25995
TA1309000042,Lincoln Ave & Melrose St,12663,13259,-596,25922
13229,Southport Ave & Belmont Ave,13011,12864,147,25875
13034,Michigan Ave & Pearson St,12857,12939,-82,25796
CHI00558,Burnham Harbor,13156,12585,571,25741
CHI00750,Orleans St & Hubbard St,13221,12518,703,25739
KA1503000072,Wacker Dr & Washington St,12832,12782,50,25614
TA1305000005,Dearborn St & Adams St,12873,12706,167,25579
CHI00438,Dearborn St & Adams St 1,12333,13100,-767,25433
CHI02087,Hampden Ct & Diversey Pkwy,12603,12799,-196,25402
CHI00781,Financial Pl & Ida B Wells Dr,12944,12347,597,25291
KA1504000079,Larrabee St & Division St,12983,12220,763,25203
15545,Burnham Harbor,12691,12451,240,25142
CHI00339,Southport Ave & Wrightwood Ave,12350,12659,-309,25009
TA1309000027,Sheridan Rd & Buena Ave,12555,12420,135,24975
CHI00272,Broadway & Wilson Ave,12470,12357,113,24827
CHI00555,Rush St & Hubbard St,12640,12147,493,24787
CHI00273,Racine Ave & Fullerton Ave,12238,12540,-302,24778
TA1307000166,Halsted St & Willow St,12294,12476,-182,24770
CHI00318,Damen Ave & Division St,12325,12424,-99,24749
CHI00407,Halsted St & Willow St,12343,12297,46,24640
CHI02108,Wabash Ave & Washington St,12093,12536,-443,24629
13156,Aberdeen St & Monroe St,12491,11737,754,24228
CHI01837,Lincoln Ave & Roscoe St,12047,12159,-112,24206
CHI02039,Calumet Ave & 18th St,12163,11967,196,24130
CHI00461,Clark St & Leland Ave,12132,11996,136,24128
TA1308000019,Racine Ave & Belmont Ave,12101,11997,104,24098
CHI00322,May St & Taylor St,12232,11831,401,24063
CHI00359,Halsted St & Polk St,12440,11622,818,24062
13150,Michigan Ave & 18th St,12162,11875,287,24037
TA1309000011,Ellis Ave & 58th St,11978,11954,24,23932
CHI00243,Michigan Ave & 18th St,12017,11855,162,23872
13196,Carpenter St & Huron St,12167,11699,468,23866
CHI00453,Franklin St & Adams St,11386,12477,-1091,23863
CHI01988,Green St & Randolph St,11816,11981,-165,23797
CHI01787,Wacker Dr & Washington St,11321,12410,-1089,23731
TA1309000014,Clark St & Leland Ave,11797,11928,-131,23725
TA1309000063,Lake Park Ave & 56th St,11651,12002,-351,23653
13194,Ogden Ave & Race Ave,11703,11946,-243,23649
CHI00286,Carpenter St & Huron St,12140,11499,641,23639
SL-010,Financial Pl & Ida B Wells Dr,12851,10752,2099,23603
CHI00264,Sheffield Ave & Willow St,11697,11801,-104,23498
22002,Woodlawn Ave & 58th St,11364,11880,-516,23244
636,Orleans St & Hubbard St,11618,11486,132,23104
13068,Western Ave & Winnebago Ave,11549,11537,12,23086
KA1504000104,Paulina St & Flournoy St,11609,11390,219,22999
chargingstx3,Green St & Randolph St*,11177,11694,-517,22871
CHI02111,Halsted St & Armitage Ave,11213,11421,-208,22634
CHI02056,Aberdeen St & Carroll Ave,11430,11186,244,22616
TA1306000032,Sheffield Ave & Willow St,11000,11608,-608,22608
CHI00216,Clark St & Ida B Wells Dr,12385,10144,2241,22529
CHI00254,Damen Ave & Wicker Park Ave,10857,11638,-781,22495
TA1309000064,Wolcott Ave & Polk St,11240,11034,206,22274
CHI00423,Woodlawn Ave & 55th St,11345,10843,502,22188
CHI01928,Wells St & Institute Pl,11272,10904,368,22176
CHI00604,Wabash Ave & 16th St,11325,10843,482,22168
13102,Calumet Ave & 18th St,11140,11028,112,22168
CHI00786,Wabash Ave & Adams St,11018,11134,-116,22152
CHI01751,Michigan Ave & Pearson St,11374,10734,640,22108
13136,Damen Ave & Division St,10895,11175,-280,22070
TA1307000001,Greenview Ave & Fullerton Ave,10576,11344,-768,21920
chargingstx5,Lincoln Ave & Roscoe St*,10686,11155,-469,21841
13006,LaSalle St & Washington St,10933,10861,72,21794
13409,Sangamon St & Washington Blvd,10620,11071,-451,21691
CHI02327,Dearborn St & Erie St,10850,10837,13,21687
KA1504000116,Larrabee St & Oak St,11072,10593,479,21665
CHI01209,Lakefront Trail & Wilson Ave,10785,10843,-58,21628
CHI00270,Sheridan Rd & Argyle St,10751,10813,-62,21564
WL-011,Jefferson St & Monroe St,11092,10356,736,21448
TA1305000035,State St & Van Buren St,11022,10291,731,21313
CHI00232,Greenview Ave & Fullerton Ave,10316,10950,-634,21266
CHI00457,Noble St & Milwaukee Ave,10686,10562,124,21248
CHI01996,Woodlawn Ave & 58th St,10497,10480,17,20977
CHI00608,Clark St & Bryn Mawr Ave,10375,10599,-224,20974
CHI01774,State St & Harrison St,10753,10207,546,20960
CHI00296,Damen Ave & Thomas St (Augusta Blvd),10369,10552,-183,20921
CHI00439,Sangamon St & Washington Blvd,10370,10483,-113,20853
15535,Desplaines St & Randolph St,10934,9899,1035,20833
CHI00321,Aberdeen St & Monroe St,10686,10107,579,20793
SL-012,Wabash Ave & 16th St,10585,10104,481,20689
TA1305000009,Clark St & Ida B Wells Dr,10542,10070,472,20612
TA1307000061,State St & Pearson St,10646,9941,705,20587
CHI00333,Ashland Ave & Blackhawk St,10184,10369,-185,20553
CHI00441,Larrabee St & Armitage Ave,10240,10276,-36,20516
CHI01748,900 W Harrison St,10670,9786,884,20456
CHI01806,Blackstone Ave & 59th St,10330,10076,254,20406
CHI00501,Wolcott Ave & Polk St,10277,10109,168,20386
13053,Green St & Washington Blvd,9758,10550,-792,20308
CHI00562,Clark St & Montrose Ave,10305,9979,326,20284
CHI00271,State St & Pearson St,10564,9682,882,20246
CHI00437,Halsted St & Maxwell St,9943,10214,-271,20157
CHI00617,Marine Dr & Ainslie St,10066,10083,-17,20149
CHI00627,Paulina St & Flournoy St,10123,10018,105,20141
CHI01183,Wood St & Chicago Ave,10010,10131,-121,20141
CHI00414,Broadway & Berwyn Ave,9922,10092,-170,20014
CHI00563,Broadway & Granville Ave,9931,10069,-138,20000
TA1309000006,Larrabee St & Armitage Ave,9936,10048,-112,19984
CHI01251,Orleans St & Chestnut St (NEXT Apts),10351,9633,718,19984
CHI02088,Broadway & Oakdale Ave,9966,10018,-52,19984
13353,Ada St & Washington Blvd,10129,9853,276,19982
620,Orleans St & Chestnut St (NEXT Apts),10413,9545,868,19958
KA1503000007,Cornell Ave & Hyde Park Blvd,10113,9793,320,19906
CHI00349,Eckhart Park,9969,9898,71,19867
